TAHUN;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Kota Bogor;71,74;547399;13,41;76,11;6,68;1,08;0,26;11564;10,33;73,61;45912864,14
Kota Sukabumi;70,52;547415;13,47;74,21;7,7;1,17;0,22;10999;9,59;72,42;12401540,58
Kota Bandung;72,45;500452;14,2;81,51;3,99;0,61;0,13;16887;10,75;74,28;283626741,1
Kota Cirebon;70,35;457954;13,12;74,89;9,52;1,68;0,4;11800;9,91;72,26;23429965,78
Kota Bekasi;73,22;657953;14;81,5;4,38;0,6;0,15;15776;11,16;75,01;96493198,57
Kota Depok;72,61;688194;13,92;80,97;2,45;0,29;0,06;15281;11,28;74,44;70382870,52
Kota Cimahi;72,19;511375;13,8;77,83;5,11;0,75;0,18;12025;10,96;74,03;32210686,58
Kota Tasikmalaya;70,25;470150;13,45;73,04;12,97;1,75;0,39;10263;9,33;72,15;21589489,4
Kota Banjar;69,04;344363;13,23;71,7;6,09;0,7;0,12;10535;8,63;70,99;4445979,097
Cilacap;71,85;351735;12,5;69,95;11,46;0,95;0,13;10440;6,97;73,73;105150538,6
Banyumas;71,8;406250;12,85;71,98;13,26;2,25;0,5;11448;7,52;73,72;53682118,37
Purbalingga;71,22;375199;11,99;68,97;15,9;2,32;0,44;9914;7,24;73,14;25093682,28
Banjarnegara;72,31;318334;11,46;67,45;15,64;2,47;0,51;9263;6,74;74,18;21694375,77
Kebumen;71,5;380557;13,34;69,81;17,59;2,62;0,55;8901;7,54;73,40;28014905,7
Purworejo;72,85;364289;13,5;72,68;11,78;0,98;0,12;10163;8,12;74,72;18646488,02
Wonosobo;69,89;362683;11,75;68,22;17,36;2,43;0,47;10621;6,81;71,82;18838679,07
Magelang;71,84;342430;12,54;69,87;11,27;1,23;0,2;9301;7,78;73,72;32462030,1
Boyolali;74,15;347520;12,56;74,25;10,18;1,3;0,23;12910;7,84;75,95;32696289,9
Klaten;75,01;419510;13,25;75,56;12,89;1,66;0,31;11921;8,58;76,78;39945640,38
Sukoharjo;75,9;393776;13,83;76,98;7,68;0,97;0,21;11325;9,34;77,65;36890533,42
Wonogiri;74,35;341643;12,49;70,25;10,86;1,08;0,18;9286;7,33;76,16;29165548,14
Karanganyar;75,72;385563;13,68;75,86;10,28;1,56;0,33;11428;8,56;77,47;37023453,39
Sragen;73,91;348890;12,83;73,95;13,38;2,18;0,53;12589;7,65;75,71;37850990,68
Grobogan;72,9;395001;12,3;69,87;12,46;1,17;0,18;10221;6,91;74,75;27268744,5
Blora;72,54;353259;12,2;68,84;11,96;1,39;0,21;9571;6,83;74,41;24013984,57
Rembang;72,67;403932;12,11;70,02;15,6;2,44;0,53;10328;7,16;74,55;18943648,8
Pati;74,22;445913;12,65;71,77;10,08;1,37;0,26;10390;7,44;76,22;43288579,86
Kudus;74,8;429666;13,23;75;7,31;1,01;0,18;11160;8,75;76,60;109532704,1
